Dist_ID,Dist_Name,Dist_Address,Dist_Phone,Dist_Email,Website,Purchase_Needs,Qty,Purchase_Price,DistProd_Name,DistProd_Desc
CSTBP20240000001,PT Sentra Food Indonesia Tbk,"Gedung Equity Tower Lt. 29 Unit E, SCBD LOT.9 Jl. Jend. Sudirman Kav. 52-53, RT. 5, RW. 3 Kel. Senayan, Kec. Kebayoran Baru Jakarta Selatan",	(021) 29055295,secretary@sentrafood.co.id,https://www.sentrafood.co.id/,Bawang Putih ,100000,39600,"Sosis, Burger, Baso, dan Delicatessen",
CSTBM20240000001,PT Sentra Food Indonesia Tbk,"Gedung Equity Tower Lt. 29 Unit E, SCBD LOT.9 Jl. Jend. Sudirman Kav. 52-53, RT. 5, RW. 3 Kel. Senayan, Kec. Kebayoran Baru Jakarta Selatan",	(021) 29055295,secretary@sentrafood.co.id,https://www.sentrafood.co.id/,Bawang Merah ,100000,39000,"Sosis, Burger, Baso, dan Delicatessen",
CSTKS20240000002,Astra Agro Lestari Tbk,Jl Pulo Ayang Raya Blok OR No. 1 Kawasan Industri Pulogadung Jakarta,	461-65-55,	Investor@astra-agro.co.id,https://www.idx.co.id/id/perusahaan-tercatat/profil-perusahaan-tercatat/Website,Kelapa Sawit,57000,20600,Minyak Kelapa Sawit,
CSTUK20240000003,PT FKS Food Sejahtera Tbk,"Menara Astra Lantai 29, Jalan Jend. Sudirman Kav 5-6, Karet Tengsin, Jakarta Pusat 10220",021 - 50889898,corporate.secretary@fksfs.co.id,https://fksfs.co.id/product-category/food/ ,Umbi Kayu,6000000,12000,"Mie Kremez, Taro, Gulas, dll.",
CSTBE20240000004,Warung soto & bakmi jowo khas semarang,"Perumahan lavender hijau Jalan citanduy raya blok P1 No 42, RT.002/RW.015, Simpangan, Kec. Cikarang Utara, Jawa Barat 17530",085325107774,-,https://warung-soto-bakmi-jowo-khas-semarang.business.site/?utm_source=gmb&utm_medium=referral,Beras,250,13800,"Soto ayam & nasi,Tahu gimbal, Capcay godog / goreng",
CSTBM20240000004,Warung soto & bakmi jowo khas semarang,"Perumahan lavender hijau Jalan citanduy raya blok P1 No 42, RT.002/RW.015, Simpangan, Kec. Cikarang Utara, Jawa Barat 17530",085325107774,-,https://warung-soto-bakmi-jowo-khas-semarang.business.site/?utm_source=gmb&utm_medium=referral,Bawang Merah,67,39400,"Soto ayam & nasi,Tahu gimbal, Capcay godog / goreng",
CSTBE20240000005,Resto Mana Tau,"Jl. Raya Industri No.155, Pasirgombong, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530",82114331744,-,https://resto-mana-tau.business.site/,Beras,500,13800,Makanan Siap Saji,
CSTSL20240000006,Delizio Resto,"Jalan Jababeka Raya Kav.A2, Pasirsari, Cikarang Jababeka, Kabupaten Bekasi, Jawa Barat 17530",8111299085,-,https://www.facebook.com/hicikarangjababeka,Selada,50,20000,Makanan Siap Saji,
CSTTM20240000006,Delizio Resto,"Jalan Jababeka Raya Kav.A2, Pasirsari, Cikarang Jababeka, Kabupaten Bekasi, Jawa Barat 17530",8111299085,-,https://www.facebook.com/hicikarangjababeka,Tomat,50,22000,Makanan Siap Saji,
CSTKE20240000007,RESTO SM,"Jl. Raya Teuku Umar No.97 Km. 45, Sukadanau, Kec. Cikarang Bar., Kabupaten Bekasi, Jawa Barat 17520",2188322140,-,http://www.hotelsm.co/,Kentang,80,16000,Makanan Siap Saji,
CSTWO20240000008,Kembang Goela Restaurant,"Jl. Jend. Sudirman No.Kav. 47-48, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",215205651,-,-,Wortel,150,14000,Makanan Siap Saji,
CSTGU20240000009,Plataran Menteng,"Jl. HOS. Cokroaminoto No.42 6, RT.6/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",2129627771,-,https://www.plataran.com/venues-dining/plataran-menteng,Gula,200,17300,Makanan Siap Saji,
